Command,Mean Time in s, Memory in kb
./10k_genomic/4POM_Normal.ttl,1.47,128554.66666666667
./10k_genomic/5ORM.ttl,1.2433333333333334,128378.66666666667
./10k_genomic/5OJM.ttl,1.2866666666666668,128726.66666666667
./100k_genomic/4POM_Normal.ttl,1.5200000000000002,128604.0
./100k_genomic/5ORM.ttl,1.5,128581.33333333333
./100k_genomic/5OJM.ttl,3.103333333333333,400144.0
./1M_genomic/4POM_Normal.ttl,4.82,304597.3333333333
./1M_genomic/5ORM.ttl,4.54,328444.0
./1M_genomic/5OJM.ttl,138.44000000000003,25590749.333333332
