Probability,Mean Estimation Time (ms),Mean Number of Unique Elements
0.1,6472.666666666667,2749926.6666666665
0.2,12532.333333333334,1971248.3333333333
0.3,18351.0,1629104.6666666667
0.4,24139.0,1452991.6666666667
0.5,29610.333333333332,1333825.3333333333
0.6,35266.0,1246252.3333333333
0.7,41450.0,1186579.3333333333
0.8,47121.0,1134185.0
0.9,52354.0,1095508.6666666667
